t/s	x/m	y/m
0,00	1,000	1,000
0,02	1,050	1,031
0,04	1,100	1,062
0,06	1,149	1,093
0,08	1,199	1,123
0,10	1,248	1,154
0,12	1,298	1,184
0,14	1,347	1,214
0,16	1,396	1,243
0,18	1,445	1,273
0,20	1,494	1,302
0,22	1,543	1,331
0,24	1,591	1,360
0,26	1,640	1,389
0,28	1,688	1,418
0,30	1,736	1,447
0,32	1,784	1,476
0,34	1,832	1,504
0,36	1,880	1,533
0,38	1,928	1,561
0,40	1,975	1,589
0,42	2,023	1,618
0,44	2,070	1,646
0,46	2,117	1,674
0,48	2,165	1,701
0,50	2,212	1,729
0,52	2,258	1,757
0,54	2,305	1,785
0,56	2,352	1,812
0,58	2,398	1,840
0,60	2,444	1,867
0,62	2,490	1,894
0,64	2,536	1,922
0,66	2,582	1,949
0,68	2,628	1,976
0,70	2,674	2,003
0,72	2,719	2,030
0,74	2,765	2,057
0,76	2,810	2,083
0,78	2,855	2,110
0,80	2,900	2,137
0,82	2,945	2,163
0,84	2,989	2,190
0,86	3,034	2,216
0,88	3,078	2,243
0,90	3,123	2,269
0,92	3,167	2,296
0,94	3,211	2,322
0,96	3,255	2,348
0,98	3,298	2,374
1,00	3,342	2,400
1,02	3,385	2,426
1,04	3,429	2,452
1,06	3,472	2,478
1,08	3,515	2,504
1,10	3,558	2,529
1,12	3,601	2,555
1,14	3,643	2,581
1,16	3,686	2,606
1,18	3,728	2,632
1,20	3,770	2,657
1,22	3,812	2,682
1,24	3,854	2,708
1,26	3,896	2,733
1,28	3,937	2,758
1,30	3,979	2,784
1,32	4,020	2,809
1,34	4,061	2,834
1,36	4,102	2,859
1,38	4,143	2,884
1,40	4,184	2,909
1,42	4,225	2,934
1,44	4,265	2,958
1,46	4,305	2,983
1,48	4,346	3,008
1,50	4,386	3,033
1,52	4,425	3,057
1,54	4,465	3,082
1,56	4,505	3,106
1,58	4,544	3,131
1,60	4,583	3,155
1,62	4,622	3,180
1,64	4,661	3,204
1,66	4,700	3,228
1,68	4,739	3,252
1,70	4,777	3,277
1,72	4,816	3,301
1,74	4,854	3,325
1,76	4,892	3,349
1,78	4,930	3,373
1,80	4,967	3,397
1,82	5,005	3,421
1,84	5,042	3,445
1,86	5,080	3,469
1,88	5,117	3,492
